sensor,post-decision,normalizado,milisegundos,decision,ultima_modificacion,raw_minimo,raw_maximo,raw_cuartil1,raw_cuartil2,raw_cuartil3,alpha_minimo,alpha_maximo,alpha_cuartil1,alpha_cuartil2,alpha_cuartil3,beta_minimo,beta_maximo,beta_cuartil1,beta_cuartil2,beta_cuartil3,delta_minimo,delta_maximo,delta_cuartil1,delta_cuartil2,delta_cuartil3,theta_minimo,theta_maximo,theta_cuartil1,theta_cuartil2,theta_cuartil3,gamma_minimo,gamma_maximo,gamma_cuartil1,gamma_cuartil2,gamma_cuartil3
AF7,False,False,7000,p,2023-05-09 21:08:14,0.0,1648.7913,768.7912,791.75824,817.1429,-0.48081702,2.4529617,0.233641445,0.41850132,0.6146324,-0.599729,1.6836128,0.028429253,0.16838892,0.44374788,-0.86159706,3.120718,0.3855854,0.68340427,0.9802442,-1.1591393,2.209363,0.12562893,0.3950304,0.7611909,-1.022765,1.0850166,-0.19688244,-0.020729633,0.21630451
AF7,False,False,7000,q,2023-05-09 21:08:14,0.0,1462.2344,767.5824,790.9524,817.5458,-0.56136715,2.4051852,0.23337942,0.4348502,0.61705804,-0.40597793,1.5054795,0.008450625,0.15169118,0.3817594,-0.92896205,2.9357595,0.3620199,0.66946703,0.9702131,-0.9287455,1.9847101,0.11370696,0.386172595,0.73425364,-0.6973012,0.93287134,-0.20048034,-0.06512589,0.154051655
AF7,True,False,0,p,2023-05-09 21:08:14,0.0,1646.3737,768.7912,791.3553,817.1429,-1.1518157,1.8518243,0.13657731,0.3707595,0.5568551,-0.3832856,1.0050492,0.0,0.12552981,0.40696222,-0.86458457,2.2859616,0.20662236,0.5235408,0.87217337,-0.9372905,1.5685353,0.0,0.26581627,0.64376825,-0.53849053,0.7746825,-0.18315142,0.0,0.22773634
AF7,True,False,0,q,2023-05-09 21:08:14,0.0,1268.8279,767.1795,789.7436,816.7399,-0.56136715,2.4051852,0.12145375,0.36064655,0.5429131,-0.6899783,1.5077006,0.0,0.12562841,0.3444929,-0.71468407,2.9357789,0.06585167,0.50555927,0.81513286,-0.9287455,1.98489,0.0,0.24704975,0.63739413,-1.022765,0.93623394,-0.202577,-0.06742735,0.12884477
AF8,False,False,7000,p,2023-05-09 21:08:14,0.0,1650.0,772.8205,793.7729,816.7399,-0.75029993,1.4381188,0.13328215,0.29476997,0.43374148,-0.57474333,1.2057761,0.096213534,0.27374446,0.4587085,-0.88702893,1.9894965,0.0,0.248384,0.5387754,-1.1341383,1.2326046,-0.07954891,0.090584256,0.32151073,-0.7179428,1.0489655,-0.11623437,0.04537305,0.27770892
AF8,False,False,7000,q,2023-05-09 21:08:14,0.0,1650.0,771.6117,792.96704,816.7399,-0.66649705,2.4120655,0.13283266,0.3033292,0.4771192,-0.3029492,1.5120878,0.099478915,0.2661286,0.42724064,-1.0070719,2.9386191,0.03288075,0.31923866,0.58381236,-0.81449443,1.987675,-0.024303451,0.15566774,0.36561382,-0.63931894,1.0916108,-0.10885384,0.034526497,0.25094575
AF8,True,False,0,p,2023-05-09 21:08:14,0.0,1633.8828,770.80585,792.96704,817.1429,-0.41623074,1.4381188,0.06193441,0.23449299,0.3799657,-0.17934299,0.92821234,0.05104136,0.2370928,0.42438146,-1.0070719,2.0715246,-0.14204334,0.023225868,0.35574564,-0.64571285,1.2409028,-0.21002516,-0.024671188,0.14494093,-0.40348566,1.0274482,-0.11133437,0.0014745013,0.21790625
AF8,True,False,0,q,2023-05-09 21:08:14,0.0,1632.2711,770.0,791.75824,815.9341,-0.42998308,2.4120655,0.095728174,0.2526755,0.38562968,-0.39328265,1.5154004,0.06081484,0.25195825,0.40138504,-0.8338818,2.9386508,-0.08029179,0.07387272,0.37554413,-0.88945574,1.9877086,-0.13813023,0.004067081,0.19266246,-0.4641071,0.93826044,-0.117247045,0.041264817,0.25626385
TP9,False,False,7000,p,2023-05-09 21:08:14,0.0,1650.0,6.0439563,192.60074,945.2747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,False,False,7000,q,2023-05-09 21:08:14,0.0,1650.0,2.014652,189.78021,946.8865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,True,False,0,p,2023-05-09 21:08:14,0.0,1650.0,0.0,187.76556,937.115375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,True,False,0,q,2023-05-09 21:08:14,0.0,1650.0,0.0,179.70695,931.5751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,False,False,7000,p,2023-05-09 21:08:14,0.0,1650.0,8.058608,192.1978,937.2161,0.0,0.91020775,0.0,0.0,0.0,0.0,0.6135709,0.0,0.0,0.0,0.0,1.3351992,0.0,0.0,0.0,0.0,0.9377656,0.0,0.0,0.0,0.0,0.62831396,0.0,0.0,0.0
TP10,False,False,7000,q,2023-05-09 21:08:14,0.0,1650.0,2.8205128,188.1685,939.6337,0.0,0.91020775,0.0,0.0,0.0,0.0,0.6135709,0.0,0.0,0.0,0.0,1.3351992,0.0,0.0,0.0,0.0,0.9377656,0.0,0.0,0.0,0.0,0.62831396,0.0,0.0,0.0
TP10,True,False,0,p,2023-05-09 21:08:14,0.0,1650.0,0.0,186.55678,925.9341,0.0,0.91020775,0.0,0.0,0.0,0.0,0.6135709,0.0,0.0,0.0,0.0,1.3351992,0.0,0.0,0.0,0.0,0.9377656,0.0,0.0,0.0,0.0,0.62831396,0.0,0.0,0.0
